,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1467,RELIANCE,EQ,2020-12-08,"1,958.20","1,961.15","2,014.25","1,950.00","1,992.45","1,993.75","1,995.12","2,00,30,506","39,96,32,27,133.60","4,60,158","56,92,600",28.42
1468,RELIANCE,EQ,2020-12-09,"1,993.75","2,009.95","2,033.80","1,999.25","2,026.00","2,026.95","2,019.89","1,34,64,375","27,19,65,61,520.30","3,03,801","48,61,192",36.10
1469,RELIANCE,EQ,2020-12-10,"2,026.95","2,021.60","2,028.50","2,001.00","2,008.00","2,007.00","2,010.18","74,14,229","14,90,39,49,695.80","2,12,910","26,70,339",36.02
1470,RELIANCE,EQ,2020-12-11,"2,007.00","2,013.00","2,038.00","1,974.25","1,999.40","2,005.80","2,015.50","1,24,34,745","25,06,21,87,257.95","2,65,002","35,53,151",28.57
1471,RELIANCE,EQ,2020-12-14,"2,005.80","2,007.95","2,015.00","1,986.35","1,993.50","1,991.30","1,997.46","79,89,830","15,95,93,61,790.30","2,48,928","28,32,392",35.45
1472,RELIANCE,EQ,2020-12-15,"1,991.30","1,989.70","1,989.70","1,961.10","1,973.60","1,974.35","1,973.54","85,61,406","16,89,62,73,508.60","2,40,918","31,08,604",36.31
1473,RELIANCE,EQ,2020-12-16,"1,974.35","1,988.00","1,994.95","1,965.70","1,977.55","1,976.55","1,977.57","85,65,904","16,93,96,60,870.95","2,33,001","32,81,219",38.31
1474,RELIANCE,EQ,2020-12-17,"1,976.55","1,984.50","2,005.00","1,977.15","1,985.50","1,985.60","1,989.37","93,46,460","18,59,35,53,236.80","2,80,068","33,68,996",36.05
1475,RELIANCE,EQ,2020-12-18,"1,985.60","1,980.10","2,004.90","1,965.00","1,998.10","1,991.55","1,981.58","85,22,215","16,88,74,33,569.45","2,26,069","34,12,555",40.04
1476,RELIANCE,EQ,2020-12-21,"1,991.55","2,010.00","2,022.00","1,855.25","1,935.00","1,939.70","1,976.82","2,03,68,545","40,26,48,99,448.00","5,14,099","57,51,990",28.24
1477,RELIANCE,EQ,2020-12-22,"1,939.70","1,949.00","1,958.90","1,888.45","1,935.00","1,936.70","1,921.80","1,29,86,606","24,95,76,54,770.30","3,74,827","33,86,829",26.08
1478,RELIANCE,EQ,2020-12-23,"1,936.70","1,930.00","1,951.45","1,920.65","1,947.00","1,943.85","1,938.16","89,99,898","17,44,32,31,403.30","2,82,444","31,28,219",34.76
1479,RELIANCE,EQ,2020-12-24,"1,943.85","1,947.00","1,998.80","1,945.90","1,992.95","1,994.15","1,976.20","95,88,577","18,94,89,62,895.70","2,50,116","21,41,157",22.33
1480,RELIANCE,EQ,2020-12-28,"1,994.15","2,006.70","2,018.00","1,995.30","2,002.00","2,003.30","2,006.71","79,47,719","15,94,87,71,620.10","2,14,898","18,21,777",22.92
1481,RELIANCE,EQ,2020-12-29,"2,003.30","2,009.00","2,012.30","1,982.55","1,987.00","1,990.05","1,992.97","85,89,407","17,11,84,16,326.30","2,42,433","30,09,732",35.04
1482,RELIANCE,EQ,2020-12-30,"1,990.05","1,995.25","2,007.20","1,975.55","1,994.35","1,995.50","1,991.60","1,01,73,132","20,26,07,86,998.35","2,34,486","31,59,950",31.06
1483,RELIANCE,EQ,2020-12-31,"1,995.50","1,993.50","2,011.90","1,978.60","1,981.80","1,985.30","1,995.67","86,67,516","17,29,75,04,921.30","2,26,094","25,38,214",29.28
1484,RELIANCE,EQ,2021-01-01,"1,985.30","1,988.00","1,997.00","1,982.00","1,988.00","1,987.50","1,989.50","46,22,002","9,19,54,80,292.00","1,39,680","10,13,314",21.92
1485,RELIANCE,EQ,2021-01-04,"1,987.50","1,995.10","1,998.90","1,968.00","1,990.25","1,990.85","1,982.61","1,13,12,992","22,42,92,27,856.70","3,16,871","38,69,604",34.20
1486,RELIANCE,EQ,2021-01-05,"1,990.85","1,969.00","1,983.60","1,956.00","1,965.00","1,966.10","1,968.87","1,11,32,803","21,91,90,19,062.85","3,00,233","52,08,047",46.78
1487,RELIANCE,EQ,2021-01-06,"1,966.10","1,965.90","1,966.00","1,905.15","1,915.50","1,914.25","1,928.17","2,14,14,270","41,29,03,68,153.15","6,59,284","90,38,101",42.21
1488,RELIANCE,EQ,2021-01-07,"1,914.25","1,920.50","1,945.00","1,905.15","1,912.80","1,911.15","1,919.86","1,49,18,406","28,64,12,63,321.10","4,54,695","64,52,659",43.25
1489,RELIANCE,EQ,2021-01-08,"1,911.15","1,918.00","1,938.40","1,912.10","1,934.00","1,933.70","1,923.06","1,27,09,792","24,44,17,51,752.65","2,70,966","53,03,550",41.73
1490,RELIANCE,EQ,2021-01-11,"1,933.70","1,938.80","1,938.80","1,892.50","1,899.00","1,897.25","1,910.26","1,53,71,556","29,36,37,09,013.00","4,79,137","76,97,815",50.08
